"SRL" "MIG" "GMax" "GMin" "SCI" "RCI" "GER" "MSM*" "est.p.SCI" "est.p.RCI" "est.p.GER" "est.p.MSM*" "GER*" "GERt" "p.Wills"
"tree_1" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_2" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_3" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_4" 4005.7632 8292.299 73192.897 376.1 0.690566037735849 -107.009216121412 0.89128608609357 0.0453553351127353 0.000141879755724748 2.59776178571116e-85 3.69582053227394e-195 0 1 1 0
"tree_5" 4005.7632 8292.299 73192.897 376.1 0.690566037735849 -107.009216121412 0.89128608609357 0.0453553351127353 0.000141879755724748 2.59776178571116e-85 3.69582053227394e-195 0 1 1 0
"tree_6" 4005.7632 8290.299 73192.897 376.1 0.690566037735849 -106.959288057766 0.891313552283823 0.0453662768978537 0.000141879755724748 2.58061438472449e-85 3.42652130704032e-195 0 1 1 0
"tree_7" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_8" 4005.7632 8281.699 73192.897 376.1 0.692452830188679 -106.744597384089 0.89143165690191 0.0454133867941832 7.63286153605194e-05 2.50815774087596e-85 2.47453183610886e-195 0 1 1 0
"tree_9" 4005.7632 8270.199 73192.897 376.1 0.692452830188679 -106.457511018125 0.891589587495863 0.0454765356915837 7.63286153605194e-05 2.41442908113633e-85 1.60058305208334e-195 0 1 1 0
"tree_10" 4005.7632 8281.949 73192.897 376.1 0.690566037735849 -106.750838392045 0.891428223628128 0.0454120159397263 0.000141879755724748 2.51023512283762e-85 2.49806676505951e-195 0 1 1 0
"tree_11" 4005.7632 8246.549 73192.897 376.1 0.690566037735849 -105.867111665512 0.891914375195602 0.0456069563159086 0.000141879755724748 2.23251112210852e-85 6.52351408212194e-196 0 1 1 0
"tree_12" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_13" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_14" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_15" 4005.7632 8308.049 73192.897 376.1 0.694339622641509 -107.402399622624 0.891069789845329 0.0452693526482571 4.00686858393974e-05 2.7368295351114e-85 6.70252476117442e-195 0 1 1 0
"tree_16" 4005.7632 8276.979 73192.897 376.1 0.692452830188679 -106.626767153885 0.891496477110906 0.0454392840672907 7.63286153605194e-05 2.46925698966763e-85 2.06946709360537e-195 0 1 1 0
"tree_17" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_18" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
"tree_19" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_20" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_21" 4005.7632 8288.349 73192.897 376.1 0.692452830188679 -106.910608195712 0.891340331819319 0.0453769502225353 7.63286153605194e-05 2.56400437137797e-85 3.18281382066153e-195 0 1 1 0
"tree_22" 4005.7632 8276.849 73192.897 376.1 0.692452830188679 -106.623521829748 0.891498262413273 0.0454399977576007 7.63286153605194e-05 2.4681941292798e-85 2.05930074946973e-195 0 1 1 0
